#addr	size	name
0x800138c0	460	valloc
0x80013a8c	516	vrealloc
0x80013c90	780	vmemoryGC
0x80013f9c	84	vinit
0x80013ff0	76	vgetmaxsize
0x8001403c	68	vgetfreesize
0x80014080	80	vcalloc
0x800140d0	260	vfree
0x800141d4	12	FUN_800141d4
0x800141e0	32	FUN_800141e0
0x80014200	328	InitGraphicsSystem
0x80014348	740	FUN_80014348
0x8001462c	1200	LoadModelArchive
0x80014adc	420	CreateCloneModelArchive
0x80014c80	856	SetupSprite
0x80014fd8	1072	SetupBG
0x80015408	116	StartDrawing
0x8001547c	96	FUN_8001547c
0x800154dc	376	GetAbsolutePosition
0x80015654	212	LoadModel
0x80015728	160	CreateCloneModel
0x800157c8	136	DisposeModelArchive
0x80015850	252	LoadOrnament
0x8001594c	128	CreateCloneOrnament
0x800159cc	92	UpdateOrnament
0x80015a28	68	DrawBG
0x80015a6c	80	DisposeBG
0x80015abc	88	FUN_80015abc
0x80015b14	176	LoadTIM
0x80015bc4	276	LoadTIMpack
0x80015cd8	32	GetTIMInfo
0x80015cf8	124	GetTIMpackInfo
0x80015d74	276	cbAccess
0x80015e88	272	FUN_80015e88
0x80015f98	228	FileRead
0x8001607c	324	FUN_8001607c
0x800161c0	348	InitFileSystem
0x8001631c	56	PathFileRead
0x80016354	124	FileWrite
0x800163d0	172	LoadExecEx
0x8001647c	56	InitAccessInfo
0x800164b4	256	LoadFromDEVPC
0x800165b4	36	LoadFromMEMORY
0x800165d8	280	LoadFromCDROM
0x800166f0	60	PrepareAccess
0x8001672c	280	InitSprite
0x80016844	288	SetupImageToPolyFT4
0x80016964	324	SetupImageToPolyGT4
0x80016aa8	400	_PlayMusic
0x80016c38	756	PlayVoice
0x80016f2c	164	get_tim_from_archive
0x80016fd0	256	GetImage
0x800170d0	208	GetArcData
0x800171a0	172	InitializeImage
0x8001724c	160	FUN_8001724c
0x800172ec	68	FUN_800172ec
0x80017330	176	PlayMusicFormID
0x800173e0	52	FUN_800173e0
0x80017414	176	FUN_80017414
0x800174c4	68	FUN_8004f770
0x80017508	488	cbCheckCD
0x800176f0	356	CdaPlayXA
0x80017854	128	CdaStop
0x800178d4	100	CdaGetCurrentLength
0x80017938	16	FUN_80017938
0x80017948	20	FUN_80017948
0x8001795c	104	FUN_8001795c
0x800179c4	472	ComPad
0x80017b9c	368	PadProc
0x80017d0c	292	GetCommand
0x80017e30	320	SetCommand
0x80017f70	188	update_pressed_buttons
0x8001802c	88	FUN_8001802c
0x80018084	60	FUN_80018084
0x800180c0	256	InitPadControl
0x800181c0	96	FUN_800181c0
0x80018220	620	FUN_80018220
0x8001848c	328	FUN_8001848c
0x800185d4	336	open_stream
0x80018724	124	close_stream
0x800187a0	112	FUN_800187a0
0x80018810	112	strInit
0x80018880	136	FUN_80018880
0x80018908	152	FUN_80018908
0x800189a0	140	FUN_800189a0
0x80018a2c	284	FUN_80018a2c
0x80018b48	284	FUN_80018b48
0x80018c64	140	FUN_80018c64
0x80018cf0	184	SetupSE
0x80018da8	284	DisposeSE
0x80018ec4	1240	FUN_80018ec4
0x8001939c	56	FUN_8001939c
0x800193d4	132	FUN_800193d4
0x80019458	332	FUN_80019458
0x800195a4	352	FUN_800195a4
0x80019704	1076	SetupTelop
0x80019b38	76	load_font_image_into_global
0x80019b84	80	initialise_font
0x80019bd4	164	FUN_80019bd4
0x80019c78	388	FUN_80019c78
0x80019dfc	208	FUN_80019dfc
0x80019ecc	212	FUN_80019ecc
0x80019fa0	176	FUN_80019fa0
0x8001a050	140	SetupSoundEffect
0x8001a0dc	48	FUN_8001a0dc
0x8001a10c	956	SaveCard
0x8001a4c8	56	FUN_8001a4c8
0x8001a500	148	FUN_8001a500
0x8001a594	84	DeleteCard
0x8001a5e8	56	FUN_8001a5e8
0x8001a620	360	LoadCard
0x8001a788	1024	FUN_8001a788
0x8001ab88	536	FUN_8001ab88
0x8001ada0	960	FUN_8001ada0
0x8001b160	1036	FUN_8001b160
0x8001b56c	448	FUN_8001b56c
0x8001b72c	668	FUN_8001b72c
0x8001b9c8	1560	FUN_8001b9c8
0x8001bfe0	352	calculate_score
0x8001c140	956	FUN_8001c140
0x8001c4fc	284	FUN_8001c4fc
0x8001c618	152	FUN_8001c618
0x8001c6b0	148	FUN_8001c6b0
0x8001c744	564	AfsGetEntry
0x8001c978	560	AfsFindFile
0x8001cba8	204	AfsOpenVolume
0x8001cc74	100	AfsInit
0x8001ccd8	80	AfsFilenameFix
0x8001cd28	156	AfsOpen
0x8001cdc4	56	FUN_8001cdc4
0x8001cdfc	64	AfsFileSize
0x8001ce3c	196	AfsRead
0x8001cf00	180	subAfsFindFile
0x8001cfb4	184	AfsGetHeader
0x8001d06c	264	cd_open
0x8001d174	528	FUN_8001d174
0x8001d384	164	cd_read
0x8001d428	220	cd_seek
0x8001d504	40	cd_init
0x8001d52c	152	cd_control
0x8001d5c4	36	FUN_8001d5c4
0x8001d5e8	356	AdtGetDisp
0x8001d74c	624	AdtMessageBox
0x8001d9bc	20	FUN_8001d9bc
0x8001d9d0	136	AdtFntOpen
0x8001da58	64	AdtFntLoad
0x8001da98	152	AdtReleaseDisp
0x8001db30	252	AdtVsprintf
0x8001dc2c	80	FUN_8001dc2c
0x8001dc7c	68	FUN_8001dc7c
0x8001dcc0	776	AdtSelect
0x8001dfc8	16	FUN_8001dfc8
0x8001dfd8	16	FUN_8001dfd8
0x8001dfe8	16	FUN_8001dfe8
0x8001dff8	32	PCopen
0x8001e018	16	FUN_8001e018
0x8001e028	36	PClseek
0x8001e04c	32	PCcreat
0x8001e06c	168	__SN_ENTRY_POINT
0x8001e114	112	__main
0x8001e184	104	__do_global_dtors
0x8001e1ec	16	FUN_8001e1ec
0x8001e1fc	12	FUN_8001e1fc
0x8001e208	192	FUN_8001e208
