#addr	size	name
0x80013ac0	460	valloc
0x80013c8c	516	vrealloc
0x80013e90	780	vmemoryGC
0x8001419c	84	vinit
0x800141f0	76	vgetmaxsize
0x8001423c	68	vgetfreesize
0x80014280	80	vcalloc
0x800142d0	260	vfree
0x800143d4	12	FUN_800143d4
0x800143e0	32	FUN_800143e0
0x80014400	328	InitGraphicsSystem
0x80014548	740	FUN_80014548
0x8001482c	760	LoadModelArchive
0x80014b24	440	FUN_80014b24
0x80014cdc	420	CreateCloneModelArchive
0x80014e80	856	SetupSprite
0x800151d8	1072	SetupBG
0x80015608	116	StartDrawing
0x8001567c	96	FUN_8001567c
0x800156dc	376	GetAbsolutePosition
0x80015854	212	LoadModel
0x80015928	160	CreateCloneModel
0x800159c8	136	DisposeModelArchive
0x80015a50	144	LoadOrnament
0x80015ae0	72	FUN_80015ae0
0x80015b28	36	FUN_80015b28
0x80015b4c	128	CreateCloneOrnament
0x80015bcc	92	UpdateOrnament
0x80015c28	68	DrawBG
0x80015c6c	80	DisposeBG
0x80015cbc	44	FUN_80015cbc
0x80015ce8	44	FUN_80015ce8
0x80015d14	176	LoadTIM
0x80015dc4	276	LoadTIMpack
0x80015ed8	32	GetTIMInfo
0x80015ef8	124	GetTIMpackInfo
0x80015f74	276	cbAccess
0x80016088	272	FUN_80016088
0x80016198	228	FileRead
0x8001627c	324	FUN_8001627c
0x800163c0	348	InitFileSystem
0x8001651c	56	PathFileRead
0x80016554	124	FileWrite
0x800165d0	172	LoadExecEx
0x8001667c	56	InitAccessInfo
0x800166b4	256	LoadFromDEVPC
0x800167b4	36	LoadFromMEMORY
0x800167d8	280	LoadFromCDROM
0x800168f0	60	PrepareAccess
0x8001692c	280	InitSprite
0x80016a44	288	SetupImageToPolyFT4
0x80016b64	324	SetupImageToPolyGT4
0x80016ca8	400	_PlayMusic
0x80016e38	756	PlayVoice
0x8001712c	164	get_tim_from_archive
0x800171d0	256	GetImage
0x800172d0	208	GetArcData
0x800173a0	172	InitializeImage
0x8001744c	160	FUN_8001744c
0x800174ec	68	FUN_800174ec
0x80017530	176	PlayMusicFormID
0x800175e0	52	FUN_800175e0
0x80017614	176	FUN_80017614
0x800176c4	68	FUN_8004f770
0x80017708	488	cbCheckCD
0x800178f0	356	CdaPlayXA
0x80017a54	128	CdaStop
0x80017ad4	100	CdaGetCurrentLength
0x80017b38	16	FUN_80017b38
0x80017b48	20	FUN_80017b48
0x80017b5c	104	FUN_80017b5c
0x80017bc4	420	FUN_80017bc4
0x80017d68	368	PadProc
0x80017ed8	292	GetCommand
0x80017ffc	320	SetCommand
0x8001813c	188	update_pressed_buttons
0x800181f8	88	FUN_800181f8
0x80018250	60	FUN_80018250
0x8001828c	352	InitPadControl
0x800183ec	620	FUN_800183ec
0x80018658	328	FUN_80018658
0x800187a0	296	open_stream
0x800188c8	124	close_stream
0x80018944	112	FUN_80018944
0x800189b4	112	strInit
0x80018a24	136	FUN_80018a24
0x80018aac	152	FUN_80018aac
0x80018b44	140	FUN_80018b44
0x80018bd0	284	FUN_80018bd0
0x80018cec	284	FUN_80018cec
0x80018e08	140	FUN_80018e08
0x80018e94	184	SetupSE
0x80018f4c	136	DisposeSE
0x80018fd4	168	FUN_80018fd4
0x8001907c	160	SetupSoundEffect
0x8001911c	48	FUN_8001911c
0x8001914c	924	FUN_8001914c
0x800194e8	340	FUN_800194e8
0x8001963c	64	FUN_8001963c
0x8001967c	1432	FUN_8001967c
0x80019c14	3392	FUN_80019c14
0x8001a954	1892	FUN_8001a954
0x8001b0b8	764	FUN_8001b0b8
0x8001b3b4	508	FUN_8001b3b4
0x8001b5b0	436	FUN_8001b5b0
0x8001b764	1168	FUN_8001b764
0x8001bbf4	524	FUN_8001bbf4
0x8001be00	652	FUN_8001be00
0x8001c08c	492	FUN_8001c08c
0x8001c278	16360	FUN_8001c278
0x80020260	240	FUN_80020260
0x80020350	168	FUN_80020350
0x800203f8	364	FUN_800203f8
0x80020564	632	UpdateMotion
0x800207dc	336	HoldMotion
0x8002092c	984	SweepMotion
0x80020d04	452	ActiveMotion
0x80020ec8	432	UpdateSplineControl
0x80021078	644	FUN_80021078
0x800212fc	240	LoadMotion
0x800213ec	140	SetupMotionRegist
0x80021478	156	SetupMotionManager
0x80021514	56	DisposeMotionManager
0x8002154c	116	GetMotionID
0x800215c0	188	PlayMotion
0x8002167c	240	SetupSpline
0x8002176c	956	SaveCard
0x80021b28	56	FUN_80021b28
0x80021b60	148	FUN_80021b60
0x80021bf4	84	DeleteCard
0x80021c48	56	FUN_80021c48
0x80021c80	360	LoadCard
0x80021de8	924	FUN_80021de8
0x80022184	804	FUN_80022184
0x800224a8	1024	FUN_800224a8
0x800228a8	536	FUN_800228a8
0x80022ac0	960	FUN_80022ac0
0x80022e80	1036	FUN_80022e80
0x8002328c	292	FUN_8002328c
0x800233b0	600	FUN_800233b0
0x80023608	220	FUN_80023608
0x800236e4	624	FUN_800236e4
0x80023954	132	FUN_80023954
0x800239d8	312	FUN_800239d8
0x80023b10	564	FUN_80023b10
0x80023d44	648	FUN_80023d44
0x80023fcc	344	FUN_80023fcc
0x80024124	260	FUN_80024124
0x80024228	824	FUN_80024228
0x80024560	996	FUN_80024560
0x80024944	1352	FUN_80024944
0x80024e8c	800	FUN_80024e8c
0x800251ac	352	calculate_score
0x8002530c	288	check_for_known_button_combination
0x8002542c	264	FUN_8002542c
0x80025534	68	FUN_80025534
0x80025578	352	FUN_80025578
0x800256d8	1076	SetupTelop
0x80025b0c	76	load_font_image_into_global
0x80025b58	80	initialise_font
0x80025ba8	164	FUN_80025ba8
0x80025c4c	388	FUN_80025c4c
0x80025dd0	132	FUN_80025dd0
0x80025e54	332	FUN_80025e54
0x80025fa0	564	AfsGetEntry
0x800261d4	560	AfsFindFile
0x80026404	204	AfsOpenVolume
0x800264d0	100	AfsInit
0x80026534	80	AfsFilenameFix
0x80026584	156	AfsOpen
0x80026620	56	FUN_80026620
0x80026658	64	AfsFileSize
0x80026698	196	AfsRead
0x8002675c	180	subAfsFindFile
0x80026810	184	AfsGetHeader
0x800268c8	264	cd_open
0x800269d0	528	FUN_800269d0
0x80026be0	164	cd_read
0x80026c84	220	cd_seek
0x80026d60	40	cd_init
0x80026d88	152	cd_control
0x80026e20	36	FUN_80026e20
0x80026e44	356	AdtGetDisp
0x80026fa8	624	AdtMessageBox
0x80027218	20	FUN_80027218
0x8002722c	136	AdtFntOpen
0x800272b4	64	AdtFntLoad
0x800272f4	152	AdtReleaseDisp
0x8002738c	252	AdtVsprintf
0x80027488	80	FUN_80027488
0x800274d8	68	FUN_800274d8
0x8002751c	776	AdtSelect
0x80027824	16	FUN_80027824
0x80027834	16	FUN_80027834
0x80027844	16	FUN_80027844
0x80027854	32	PCopen
0x80027874	16	FUN_80027874
0x80027884	36	PClseek
0x800278a8	32	PCcreat
0x800278c8	168	__SN_ENTRY_POINT
0x80027970	112	__main
0x800279e0	104	__do_global_dtors
0x80027a48	16	FUN_80027a48
0x80027a58	12	FUN_80027a58
0x80027a64	192	FUN_80027a64
0x80027b24	24	FUN_80027b24
0x80027b3c	192	FUN_80027b3c
0x80027bfc	24	FUN_80027bfc
0x80027c14	48	StSetRing
0x80027c44	144	CdInit
0x80027cd4	192	EVENT_OBJ_90
0x80027d94	16	FUN_80027d94
0x80027da4	16	FUN_80027da4
0x80027db4	16	FUN_80027db4
0x80027dc4	16	FUN_80027dc4
0x80027dd4	12	FUN_80027dd4
0x80027de0	108	CdReset
0x80027e4c	156	FUN_80027e4c
0x80027ee8	32	FUN_80027ee8
0x80027f08	32	FUN_80027f08
0x80027f28	20	FUN_80027f28
0x80027f3c	20	FUN_80027f3c
0x80027f50	316	CdControl
0x8002808c	308	CdControlF
0x800281c0	332	CdControlB
0x8002830c	32	CdMix
0x8002832c	32	FUN_8002832c
0x8002834c	32	FUN_8002834c
0x8002836c	36	FUN_8002836c
0x80028390	32	FUN_80028390
0x800283b0	260	CdIntToPos
0x800284b4	128	CdPosToInt
0x80028534	1372	FUN_80028534
