#addr	size	name
0x80015940	708	FUN_80015940
0x80015c04	572	FUN_80015c04
0x80015e40	2592	FUN_80015e40
0x80016860	280	FUN_80016860
0x80016978	460	FUN_80016978
0x80016b44	340	FUN_80016b44
0x80016c98	528	FUN_80016c98
0x80016ea8	572	FUN_80016ea8
0x800170e4	480	FUN_800170e4
0x800172c4	1020	FUN_800172c4
0x800176c0	552	FUN_800176c0
0x800178e8	748	FUN_800178e8
0x80017bd4	1616	FUN_80017bd4
0x80018224	432	FUN_80018224
0x800183d4	248	FUN_800183d4
0x800184cc	916	FUN_800184cc
0x80018860	304	FUN_80018860
0x80018990	816	FUN_80018990
0x80018cc0	2520	FUN_80018cc0
0x80019698	284	FUN_80019698
0x800197b4	352	FUN_800197b4
0x80019914	276	FUN_80019914
0x80019a28	220	FUN_80019a28
0x80019b04	16	FUN_80019b04
0x80019b14	64	FUN_80019b14
0x80019b54	108	FUN_80019b54
0x80019bc0	36	FUN_80019bc0
0x80019be4	52	FUN_80019be4
0x80019c18	68	FUN_80019c18
0x80019c5c	84	FUN_80019c5c
0x80019cb0	152	FUN_80019cb0
0x80019d48	252	FUN_80019d48
0x80019e44	40	FUN_80019e44
0x80019e6c	104	FUN_80019e6c
0x80019ed4	208	FUN_80019ed4
0x80019fa4	44	FUN_80019fa4
0x80019fd0	104	FUN_80019fd0
0x8001a038	248	FUN_8001a038
0x8001a130	148	FUN_8001a130
0x8001a1c4	460	valloc
0x8001a390	516	vrealloc
0x8001a594	780	vmemoryGC
0x8001a8a0	84	vinit
0x8001a8f4	76	vgetmaxsize
0x8001a940	68	vgetfreesize
0x8001a984	80	vcalloc
0x8001a9d4	260	vfree
0x8001aad8	12	FUN_8001aad8
0x8001aae4	8	FUN_8001aae4
0x8001aaec	420	FUN_8001aaec
0x8001ac90	556	EndDrawing
0x8001aebc	332	DrawModel
0x8001b008	760	LoadModelArchive
0x8001b300	488	DrawModelArchive
0x8001b4e8	420	CreateCloneModelArchive
0x8001b68c	464	SetupSprite
0x8001b85c	444	DrawSprite
0x8001ba18	1072	SetupBG
0x8001be48	140	FUN_8001be48
0x8001bed4	48	FUN_8001bed4
0x8001bf04	48	FUN_8001bf04
0x8001bf34	120	GetAbsolutePosition
0x8001bfac	296	DrawClip
0x8001c0d4	176	LoadModel
0x8001c184	36	FUN_8001c184
0x8001c1a8	160	CreateCloneModel
0x8001c248	136	DisposeModelArchive
0x8001c2d0	144	LoadOrnament
0x8001c360	68	DrawOrnament
0x8001c3a4	36	FUN_8001c3a4
0x8001c3c8	128	CreateCloneOrnament
0x8001c448	92	UpdateOrnament
0x8001c4a4	68	DrawBG
0x8001c4e8	80	DisposeBG
0x8001c538	44	FUN_8001c538
0x8001c564	44	FUN_8001c564
0x8001c590	176	LoadTIM
0x8001c640	272	FUN_8001c640
0x8001c750	32	GetTIMInfo
0x8001c770	124	GetTIMpackInfo
0x8001c7ec	284	PlaySE
0x8001c908	104	InitSoundEffect
0x8001c970	184	SetupSE
0x8001ca28	76	DisposeSE
0x8001ca74	880	FUN_8001ca74
0x8001cde4	112	FUN_8001cde4
0x8001ce54	184	FUN_8001ce54
0x8001cf0c	212	FUN_8001cf0c
0x8001cfe0	124	FileWrite
0x8001d05c	172	LoadExecEx
0x8001d108	12	FUN_8001d108
0x8001d114	256	LoadFromDEVPC
0x8001d214	288	LoadFromCDROM
0x8001d334	60	PrepareAccess
0x8001d370	200	LoadAreaMap
0x8001d438	420	ComputeAreaLevel
0x8001d5dc	1168	GetAreaMapLevel
0x8001da6c	548	GetAreaMapVector
