# name	fuzzy_match_percent	status	source_sha256  (generated by tools/fuzz-score.py; empty = no score)
AddEnemy	98.61	ok	a528c6b7209022ae6d6c6271b9af6d4d34f326867f2582c84229a5907cbd42a8
AdtSelect	97.42	ok	61df2e9c890fec2c1d5843d514268469429063ac1f42065eecaa22ac7a76f2f6
FUN_8001b174	69.57	ok	0e8fcf8af7cf8e7691fc634c8bd0e4e0e6d9a87c0bd788865f737799e21c08b4
FUN_8001c730	4.72	ok	a52f7c4278e25af16b5057aac6af61b082784955fe7ea9621311d7c3f335c19c
FUN_80036284	80.00	ok	122caebe298ff9f9523f47ae304e83e2e9dadca30bcdc19c64d7aec137f526e5
FUN_800519bc	93.09	ok	331180851b75be46a2dd4624d7e4a0caccc2e41d04b7c800c891d26c0f75193c
GetPad	78.26	ok	997de61e7d3dc4253ccf65237083a15509e88841e7de355d4dafaf5db7300485
GetPadXY	34.48	ok	0cc39587493d2f8159d5e234f8efe84b03fafd71e442f44b1026fe12f7df20f9
PClseek	66.67	ok	abb8ac0b91339b2ef071148dc1c7c400d78ceba897e77d8041def163534cd6c1
drawF3	97.30	ok	ca712ce43dcfe68ca89c168e4bda6085fc4fe5d2ea2c523406f1cc1c5a345fb8
mission_score_screen	97.07	ok	171eadd7fd6ae841d4839fbfb0420c08869a4fb218660dddf453332dacf3d2cf
start_demo_	94.70	ok	584868d3bab10c47abd9837bfae47032392a13c5c0b2247d796cb4980da23cbc
