#demo_addr	storage	type	name
8008b02c	?	?	__data_org
8008b02c	EXT	struct VECTOR	UnitVector2
8008b02c	?	?	__text_objend
8008b02c	?	?	__text_orgend
8008b02c	?	?	__data_obj
8008b03c	EXT	short [16]	RefrectVector
8008b05c	EXT	short [16][2]	RefrectMove
8008b0ac	EXT	unsigned short [4]	cmdUU
8008b0b4	EXT	unsigned short [4]	cmdDD
8008b0bc	EXT	unsigned short [4]	cmdLL
8008b0c4	EXT	unsigned short [4]	cmdRR
8008b0cc	EXT	unsigned short [5]	cmdSUU
8008b0d8	EXT	unsigned short [5]	cmdSDD
8008b0e4	EXT	unsigned short [5]	cmdSLL
8008b0f0	EXT	unsigned short [5]	cmdSRR
8008b0fc	EXT	unsigned short [4]	cmdAUU
8008b104	EXT	unsigned short [5]	cmdAUD
8008b110	EXT	unsigned short [5]	cmdJDU
8008b11c	STAT	unsigned short *[12]	Command
8008b14c	STAT	short [33][4]	HermiteTable
8008b254	STAT	void (*[18])()	ActionFunc
8008b2c4	EXT	struct MotionRegistType [41]	MOTcommon
8008b40c	STAT	struct MotionRegistType [2]	MOTnone
8008b41c	STAT	struct MotionRegistType [60]	MOTrikimaru
8008b5fc	STAT	struct MotionRegistType [64]	MOTayame
8008b7fc	STAT	struct MotionRegistType [8]	MOTkikuhime
8008b83c	STAT	struct MotionRegistType [7]	MOTtono
8008b874	STAT	struct MotionRegistType [10]	MOTrikimaru2
8008b8c4	STAT	struct MotionRegistType [9]	MOTayame2
8008b90c	STAT	struct MotionRegistType [29]	MOTrouninK
8008b9f4	STAT	struct MotionRegistType [25]	MOTrouninS
8008babc	STAT	struct MotionRegistType [22]	MOTrouninB
8008bb6c	STAT	struct MotionRegistType [26]	MOTninjaH
8008bc3c	STAT	struct MotionRegistType [26]	MOTninjaK
8008bd0c	STAT	struct MotionRegistType [31]	MOTkunoiti
8008be04	STAT	struct MotionRegistType [22]	MOTmouryou
8008beb4	STAT	struct MotionRegistType [26]	MOTmanjiK
8008bf84	STAT	struct MotionRegistType [27]	MOTmanjiS
8008c05c	STAT	struct MotionRegistType [22]	MOTmanjiB
8008c10c	STAT	struct MotionRegistType [25]	MOTkaizokuS
8008c1d4	STAT	struct MotionRegistType [21]	MOTkaizokuG
8008c27c	STAT	struct MotionRegistType [28]	MOTkaizokuC
8008c35c	STAT	struct MotionRegistType [28]	MOTtenguN
8008c43c	STAT	struct MotionRegistType [16]	MOTechigoya
8008c4bc	STAT	struct MotionRegistType [20]	MOThanbei
8008c55c	STAT	struct MotionRegistType [23]	MOTgoo
8008c614	STAT	struct MotionRegistType [25]	MOTcaptain
8008c6dc	STAT	struct MotionRegistType [23]	MOTbear
8008c794	STAT	struct MotionRegistType [32]	MOTonikage
8008c894	STAT	struct MotionRegistType [28]	MOTonikage2
8008c974	STAT	struct MotionRegistType [27]	MOTmeiou
8008ca4c	STAT	struct MotionRegistType [13]	MOTchonin
8008cab4	STAT	struct MotionRegistType [14]	MOTjochu
8008cb24	STAT	struct MotionRegistType [13]	MOTzainin
8008cb8c	STAT	struct MotionRegistType [13]	MOTcat
8008cbf4	STAT	struct MotionRegistType [15]	MOTdog
8008cc6c	STAT	struct MotionRegistType [4]	MOTobject
8008cc8c	EXT	struct HumanDataType [63]	HumanData
8008d274	EXT	struct BattleType [78]	BattleDB
8008d754	EXT	struct WeaponModelType [41]	WeaponModel
8008d940	EXT	struct WeaponType [28]	WeaponDB
8008dbe0	STAT	short (*[10])()	Think1Func
8008dc08	STAT	short (*[5])()	Think2Func
8008dc1c	STAT	short (*[10])()	Think3Func
8008dc44	STAT	short (*[6])()	Think4Func
8008dc5c	EXT	struct ThinkDBtype [20]	ThinkDB
8008dcfc	STAT	short (*[4])()	AttackFunc
8008dd0c	EXT	struct TCameraStatus	CamState
8008dd30	STAT	struct TCameraPos [3]	CamPosCriticalHit
8008dd88	STAT	struct ObjectSlotManager	ModelSlot
