#demo_addr	size	file	line	fsize	mask	static	name
8001387c	84	VALLOC.C	33	8	0x00000000	extern	vinit
800138d0	76	VALLOC.C	45	0	0x00000000	extern	vgetmaxsize
8001391c	68	VALLOC.C	61	0	0x00000000	extern	vgetfreesize
80013960	460	VALLOC.C	76	1080	0x80030000	extern	valloc
80013b2c	520	VALLOC.C	130	40	0x80070000	extern	vrealloc
80013d34	84	VALLOC.C	203	32	0x80070000	extern	vcalloc
80013d88	264	VALLOC.C	216	32	0x80070000	extern	vfree
80013e90	12	VALLOC.C	247	0	0x00000000	extern	vsize
80013e9c	784	VALLOC.C	259	56	0x807f0000	extern	vmemoryGC
800141ac	48	VALLOC.C	305	24	0x80000000	extern	SystemOut
800141dc	316	3DCTRL.C	45	32	0x80010000	extern	InitGraphicsSystem
80014318	212	3DCTRL.C	79	32	0x80010000	extern	InitLighting
800143ec	392	3DCTRL.C	97	96	0x801f0000	extern	SetupLighting
80014574	124	3DCTRL.C	140	24	0x80000000	extern	StartDrawing
800145f0	196	3DCTRL.C	151	24	0x80010000	extern	EndDrawing
800146b4	52	3DCTRL.C	203	24	0x80010000	extern	UpdateCoordinate
800146e8	52	3DCTRL.C	212	24	0x80010000	extern	UpdateCoordinate2
8001471c	124	3DCTRL.C	221	80	0x800f0000	extern	GetAbsolutePosition
80014798	300	3DCTRL.C	240	40	0x80030000	extern	DrawClip
800148c4	180	3DCTRL.C	269	32	0x80030000	extern	LoadModel
80014978	336	3DCTRL.C	297	72	0x80030000	extern	DrawModel
80014ac8	36	3DCTRL.C	312	24	0x80000000	extern	DisposeModel
80014aec	164	3DCTRL.C	319	32	0x80030000	extern	CreateCloneModel
80014b90	764	3DCTRL.C	335	56	0x80ff0000	extern	LoadModelArchive
80014e8c	492	3DCTRL.C	393	88	0x800f0000	extern	DrawModelArchive
80015078	140	3DCTRL.C	425	32	0x80030000	extern	DisposeModelArchive
80015104	424	3DCTRL.C	438	48	0x803f0000	extern	CreateCloneModelArchive
800152ac	148	3DCTRL.C	471	32	0x80030000	extern	LoadOrnament
80015340	72	3DCTRL.C	496	56	0x80010000	extern	DrawOrnament
80015388	36	3DCTRL.C	510	24	0x80000000	extern	DisposeOrnament
800153ac	132	3DCTRL.C	518	32	0x80030000	extern	CreateCloneOrnament
80015430	96	3DCTRL.C	532	32	0x80010000	extern	UpdateOrnament
80015490	472	3DCTRL.C	546	40	0x800f0000	extern	SetupSprite
80015668	448	3DCTRL.C	593	72	0x80070000	extern	DrawSprite
80015828	36	3DCTRL.C	611	24	0x80000000	extern	DisposeSprite
8001584c	1124	3DCTRL.C	622	96	0xc0ff0000	extern	SetupBG
80015cb0	68	3DCTRL.C	686	24	0x80000000	extern	DrawBG
80015cf4	84	3DCTRL.C	697	24	0x80010000	extern	DisposeBG
80015d48	60	3DCTRL.C	708	0	0x00000000	extern	ViewAdjustBG
80015d84	184	3DCTRL.C	718	64	0x80010000	extern	LoadTIM
80015e3c	32	3DCTRL.C	749	24	0x80000000	extern	GetTIMInfo
80015e5c	288	3DCTRL.C	759	80	0x801f0000	extern	LoadTIMpack
80015f7c	124	3DCTRL.C	802	32	0x80000000	extern	GetTIMpackInfo
80015ff8	104	AUDIO.C	28	24	0x80000000	extern	InitSoundEffect
80016060	188	AUDIO.C	40	32	0x80070000	extern	SetupSE
8001611c	80	AUDIO.C	61	24	0x80010000	extern	DisposeSE
8001616c	284	AUDIO.C	72	40	0x80010000	extern	PlaySE
80016288	60	AUDIO.C	94	24	0x80000000	extern	StopSE
800162c4	352	FILEIO.C	62	24	0x80010000	extern	InitFileSystem
80016424	60	FILEIO.C	106	24	0x80000000	extern	InitAccessInfo
80016460	292	FILEIO.C	115	240	0x80010000	static	cbAccess
80016584	60	FILEIO.C	144	24	0x80000000	extern	PrepareAccess
800165c0	232	FILEIO.C	156	24	0x80010000	extern	FileRead
800166a8	56	FILEIO.C	185	280	0x80000000	extern	PathFileRead
800166e0	128	FILEIO.C	197	32	0x80070000	extern	FileWrite
80016760	260	FILEIO.C	214	32	0x80070000	extern	LoadFromDEVPC
80016864	868	FILEIO.C	247	64	0x801f0000	extern	LoadFromMEMORY
80016bc8	6464	FILEIO.C	296	40	0x800f0000	extern	LoadFromCDROM
80018508	180	CONFLICT.C	47	32	0x80030000	extern	LoadAreaMap
800185bc	60	CONFLICT.C	74	24	0x80000000	extern	DisposeAreaMap
800185f8	416	CONFLICT.C	83	0	0x00000000	extern	ComputeAreaLevel
80018798	1128	CONFLICT.C	107	64	0xc0ff0000	extern	GetAreaMapLevel
80018c00	584	CONFLICT.C	180	64	0xc0ff0000	extern	GetAreaMapVector
80018e48	584	CONFLICT.C	223	72	0x801f0000	extern	GetAreaMapPassage
80019090	328	CONFLICT.C	260	32	0x80070000	extern	InitConflict
800191d8	328	CONFLICT.C	283	32	0x80070000	extern	InsertConflict
80019320	300	CONFLICT.C	310	0	0x00000000	extern	DeleteConflict
8001944c	832	CONFLICT.C	329	72	0x801f0000	extern	ComputeAllConflict
8001978c	388	CONFLICT.C	382	0	0x00000000	extern	GetConflictResult
80019910	84	PADCMD.C	82	24	0x80000000	extern	InitPadControl
80019964	100	PADCMD.C	109	0	0x00000000	extern	PadShock
800199c8	856	PADCMD.C	136	40	0x800f0000	extern	ComPad
80019d20	28	PADCMD.C	241	0	0x00000000	extern	PadShockAR
80019d3c	372	PADCMD.C	249	24	0x80010000	extern	PadProc
80019eb0	92	PADCMD.C	276	24	0x80010000	extern	GetRealPad
80019f0c	72	PADCMD.C	285	8	0x00000000	extern	GetPadXY
80019f54	84	PADCMD.C	293	8	0x00000000	extern	GetPad
80019fa8	172	PADCMD.C	311	0	0x00000000	extern	SetPad
8001a054	280	PADCMD.C	333	0	0x00000000	extern	GetCommand
8001a16c	260	PADCMD.C	359	0	0x00000000	extern	SetCommand
8001a270	244	ACTION.C	77	24	0x80010000	extern	LoadMotion
8001a364	364	ACTION.C	100	24	0x80000000	extern	SearchMotion
8001a4d0	144	ACTION.C	126	40	0x800f0000	extern	SetupMotionRegist
8001a560	160	ACTION.C	139	32	0x80070000	extern	SetupMotionManager
8001a600	60	ACTION.C	160	24	0x80010000	extern	DisposeMotionManager
8001a63c	116	ACTION.C	169	0	0x00000000	extern	GetMotionID
8001a6b0	636	ACTION.C	182	24	0x80010000	extern	UpdateMotion
8001a92c	192	ACTION.C	220	24	0x80010000	extern	PlayMotion
8001a9ec	340	ACTION.C	242	32	0x80070000	extern	HoldMotion
8001ab40	988	ACTION.C	272	40	0x800f0000	extern	SweepMotion
8001af1c	456	ACTION.C	307	48	0x800f0000	extern	ActiveMotion
8001b0e4	232	ACTION.C	344	40	0x800f0000	extern	SetupSpline
8001b1cc	432	ACTION.C	365	0	0x00000000	extern	UpdateSplineControl
8001b37c	648	ACTION.C	388	32	0x80070000	extern	GetSpline
8001b604	292	MOTION.C	145	24	0x80000000	extern	HumanActionControl
8001b728	144	MOTION.C	173	24	0x80000000	extern	MotionAndMove
8001b7b8	180	MOTION.C	188	32	0x80070000	extern	SetNowMotion
8001b86c	192	MOTION.C	200	32	0x80070000	extern	NowReturnNormal
8001b92c	100	MOTION.C	210	24	0x80000000	extern	ReturnNormal
8001b990	664	MOTION.C	219	40	0x80010000	extern	SwimCheck
8001bc28	572	MOTION.C	256	40	0x80000000	extern	FallCheck
8001be64	1120	MOTION.C	291	56	0x801f0000	extern	HangCheck
8001c2c4	260	MOTION.C	346	32	0x80010000	extern	StickonCheck
8001c3c8	604	MOTION.C	367	24	0x80000000	extern	JumpControl
8001c624	4652	MOTION.C	408	72	0x803f0000	extern	DamageControl
8001d850	1020	MOTION.C	648	48	0x80030000	extern	AttackControl
8001dc4c	384	MOTION.C	726	24	0x80010000	extern	AttackCancelControl
