# Retail functions still named FUN_/DEAD_ for which PSX.SYM's TU
# alignment offers no candidate at all.  Most are library code (no
# debug info) or functions added after the demo.  Try, in order:
#   tools/xbuildnames.py   (instruction identity vs demo PSX.EXE)
#   tools/callmatch.py     (call signature -- survives a rewritten body)
#addr	size	name
80018f00	272	FUN_80018f00
800190f4	324	FUN_800190f4
8001b174	48	FUN_8001b174
8001b2b8	60	FUN_8001b2b8
8001b2f4	112	FUN_8001b2f4
8001b4bc	36	FUN_8001b4bc
8001b4e0	52	FUN_8001b4e0
8001c730	220	FUN_8001c730
80026f4c	8	FUN_80026f4c
800270f8	280	FUN_800270f8
80027304	104	FUN_80027304
800274e8	108	FUN_800274e8
80027730	232	FUN_80027730
8002fd9c	792	FUN_8002fd9c
80030644	296	FUN_80030644
80033bc0	848	FUN_80033bc0
80033f10	772	FUN_80033f10
80034dbc	728	FUN_80034dbc
8003562c	2328	FUN_8003562c
80037e0c	896	FUN_80037e0c
80038c0c	212	FUN_80038c0c
80038ce0	48	FUN_80038ce0
80038fdc	192	FUN_80038fdc
80039160	308	FUN_80039160
8003944c	248	FUN_8003944c
80039c14	64	FUN_80039c14
80039ddc	468	FUN_80039ddc
80039fb0	408	FUN_80039fb0
8003a148	352	FUN_8003a148
8003cd04	88	FUN_8003cd04
8004a368	128	FUN_8004a368
8004a598	52	FUN_8004a598
8004a6bc	212	FUN_8004a6bc
8004c024	32	FUN_8004c024
8004c350	588	FUN_8004c350
8004c59c	412	FUN_8004c59c
8004d6d4	416	FUN_8004d6d4
8004f4f8	160	FUN_8004f4f8
8004f598	68	FUN_8004f598
8004f68c	52	FUN_8004f68c
8004f6c0	176	FUN_8004f6c0
8004f770	68	FUN_8004f770
8004fbf4	20	FUN_8004fbf4
8004fc08	104	FUN_8004fc08
800514d0	8	FUN_800514d0
800514d8	216	FUN_800514d8
800515b0	1036	FUN_800515b0
800519bc	1448	FUN_800519bc
80052ea8	1244	FUN_80052ea8
800565f0	76	FUN_800565f0
800566c0	60	FUN_800566c0
800566fc	160	FUN_800566fc
8005679c	284	FUN_8005679c
800568b8	88	FUN_800568b8
80056910	300	FUN_80056910
80056e30	148	FUN_80056e30
800570b8	352	FUN_800570b8
800576e8	164	FUN_800576e8
8005778c	388	FUN_8005778c
80057b80	3796	FUN_80057b80
80058a54	540	FUN_80058a54
80058c70	920	FUN_80058c70
80059008	920	FUN_80059008
800593a0	300	FUN_800593a0
8005961c	1260	FUN_8005961c
80059b08	1260	FUN_80059b08
80059ff4	984	FUN_80059ff4
8005a3cc	984	FUN_8005a3cc
8005a7a4	1024	FUN_8005a7a4
8005aba4	536	FUN_8005aba4
8005adbc	960	FUN_8005adbc
8005b17c	1036	FUN_8005b17c
8005e8f0	88	FUN_8005e8f0
8005e948	8	FUN_8005e948
8005f380	472	FUN_8005f380
8005f7d0	36	FUN_8005f7d0
8005fe34	84	FUN_8005fe34
8005fe88	68	FUN_8005fe88
