# Functions PSX.SYM knows that we could NOT locate in retail main.exe.
# Either removed/inlined between the builds, moved to MENU.EXE/ENDING.EXE,
# or still hiding behind one of the unnamed retail placeholders.
#demo_addr	demo_size	fsize	mask	file	line	name
80014318	212	32	0x80010000	3DCTRL.C	79	InitLighting
800143ec	392	96	0x801f0000	3DCTRL.C	97	SetupLighting
80015828	36	24	0x80000000	3DCTRL.C	611	DisposeSprite
80016288	60	24	0x80000000	AUDIO.C	94	StopSE
80019fa8	172	0	0x00000000	PADCMD.C	311	SetPad
80024998	72	24	0x80010000	HUMAN.C	71	KillAllHumanoid
80026080	144	0	0x00000000	HUMAN.C	510	RestartTraceLine
8002aa9c	24	0	0x00000000	CAMERA.C	99	QuakeCamera
80032148	380	64	0xc0ff0000	EFFECT.C	1853	SetupTexScroll
800337b0	376	24	0x00000000	WORLD.C	661	PointInTri
8003fee4	144	32	0x80010000	ITEM.C	3508	CalcWorldVector
80044268	204	40	0x80010000	INFOVIEW.C	1208	DemoPatchProc
80046adc	12	0	0x00000000	IMAGES.C	72	GetImageReady
80046f30	72	24	0x80000000	IMAGES.C	428	SetCDVolume
800470e4	32	24	0x80000000	IMAGES.C	476	PlayMusic
800472dc	64	24	0x80000000	IMAGES.C	540	StopMusic
800487ac	128	0	0x00000000	OPENING.C	196	ReadSaveData
8004882c	188	0	0x00000000	OPENING.C	222	WriteSaveData
800488e8	700	56	0x80030000	OPENING.C	244	StartLoad
80048ba4	276	40	0x800f0000	OPENING.C	302	SpWorkSet
80048cb8	272	32	0x80030000	OPENING.C	326	GsSortSpriteKage
80048dc8	436	40	0x801f0000	OPENING.C	351	FideOutFs
80048f7c	776	64	0xc0ff0000	OPENING.C	383	FideOut
80049284	216	40	0x801f0000	OPENING.C	434	FideOut2
8004935c	212	40	0x801f0000	OPENING.C	455	FideOut3
80049430	23676	128	0xc0ff0000	OPENING.C	480	Opening
8004f4a8	280	192	0x800f0000	OPMOVIE.C	129	open_stream
8004f5c0	168	32	0x80010000	OPMOVIE.C	181	get_stream
8004f668	124	32	0x80000000	OPMOVIE.C	247	close_stream
8004f6e4	104	0	0x00000000	OPMOVIE.C	272	strSetDefDecEnv
8004f74c	112	40	0x80030000	OPMOVIE.C	300	strInit
8004f7bc	460	136	0x80010000	OPMOVIE.C	323	strCallback
8004f988	140	32	0x80070000	OPMOVIE.C	389	strNextVlc
8004fa14	332	48	0x80030000	OPMOVIE.C	412	strNext
8004fb60	160	40	0x80070000	OPMOVIE.C	457	strSync
8004fc00	144	40	0x80030000	OPMOVIE.C	478	strKickCD
8004fc90	420	72	0x80070000	MOJI.C	79	InitMoji
8004fe34	64	0	0x00000000	MOJI.C	130	GetKazu
8004fe74	308	48	0x801f0000	MOJI.C	149	PutMojiColKage
8004ffa8	128	32	0x80000000	MOJI.C	179	PutMojiCol
80050028	276	48	0x801f0000	MOJI.C	203	PutMojiKage
8005013c	1240	56	0xc0ff0000	MOJI.C	231	PutMoji
80050bb0	68	0	0x00000000	START.C	51	MakeArcData
80050bf4	176	64	0x80010000	START.C	65	LoadTIMarc
