#addr	size	name	source	provenance
0x800138c0	456	valloc	main	-
0x80013a8c	516	vrealloc	main	-
0x80013c90	780	vmemoryGC	main	-
0x80013f9c	84	vinit	main	-
0x80013ff0	76	vgetmaxsize	main	-
0x8001403c	68	vgetfreesize	main	-
0x80014080	80	vcalloc	main	-
0x800140d0	260	vfree	main	-
0x80014200	328	InitGraphicsSystem	calls-contain	psxsym
0x8001462c	760	LoadModelArchive	main	-
0x80014adc	420	CreateCloneModelArchive	main	-
0x80014c80	464	SetupSprite	main	-
0x80014fd8	1072	SetupBG	main	-
0x80015408	116	StartDrawing	main	-
0x800154dc	120	GetAbsolutePosition	main	-
0x80015654	176	LoadModel	main	-
0x80015728	160	CreateCloneModel	main	-
0x800157c8	136	DisposeModelArchive	main	-
0x80015850	144	LoadOrnament	main	-
0x8001594c	128	CreateCloneOrnament	main	-
0x800159cc	92	UpdateOrnament	main	-
0x80015a28	68	DrawBG	main	-
0x80015a6c	80	DisposeBG	main	-
0x80015b14	176	LoadTIM	main	-
0x80015bc4	276	LoadTIMpack	main	-
0x80015cd8	32	GetTIMInfo	main	-
0x80015cf8	124	GetTIMpackInfo	main	-
0x80015d74	276	cbAccess	main	-
0x80015e88	272	FUN_80018f00	main	-
0x80015f98	228	FileRead	main	-
0x8001607c	324	FUN_800190f4	main	-
0x800161c0	348	InitFileSystem	main	-
0x8001631c	56	PathFileRead	main	-
0x80016354	124	FileWrite	main	-
0x800163d0	172	LoadExecEx	main	-
0x8001647c	56	InitAccessInfo	main	-
0x800164b4	256	LoadFromDEVPC	main	-
0x800165b4	36	LoadFromMEMORY	main	-
0x800165d8	280	LoadFromCDROM	main	-
0x800166f0	60	PrepareAccess	main	-
0x8001672c	280	InitSprite	main	-
0x80016844	288	SetupImageToPolyFT4	main	-
0x80016964	324	SetupImageToPolyGT4	main	-
0x80016aa8	400	_PlayMusic	main	-
0x80016c38	756	PlayVoice	main	-
0x80016f2c	164	get_tim_from_archive	main	-
0x80016fd0	256	GetImage	main	-
0x800170d0	208	GetArcData	main	-
0x800171a0	172	InitializeImage	main	-
