#addr	size	name	source	provenance
0x80013ac0	456	valloc	main	-
0x80013c8c	516	vrealloc	main	-
0x80013e90	780	vmemoryGC	main	-
0x8001419c	84	vinit	main	-
0x800141f0	76	vgetmaxsize	main	-
0x8001423c	68	vgetfreesize	main	-
0x80014280	80	vcalloc	main	-
0x800142d0	260	vfree	main	-
0x80014400	328	InitGraphicsSystem	calls-contain	psxsym
0x8001482c	760	LoadModelArchive	main	-
0x80014cdc	420	CreateCloneModelArchive	main	-
0x80014e80	464	SetupSprite	main	-
0x800151d8	1072	SetupBG	main	-
0x80015608	116	StartDrawing	main	-
0x800156dc	120	GetAbsolutePosition	main	-
0x80015854	176	LoadModel	main	-
0x80015928	160	CreateCloneModel	main	-
0x800159c8	136	DisposeModelArchive	main	-
0x80015a50	144	LoadOrnament	main	-
0x80015b4c	128	CreateCloneOrnament	main	-
0x80015bcc	92	UpdateOrnament	main	-
0x80015c28	68	DrawBG	main	-
0x80015c6c	80	DisposeBG	main	-
0x80015d14	176	LoadTIM	main	-
0x80015dc4	276	LoadTIMpack	main	-
0x80015ed8	32	GetTIMInfo	main	-
0x80015ef8	124	GetTIMpackInfo	main	-
0x80015f74	276	cbAccess	main	-
0x80016088	272	FUN_80018f00	main	-
0x80016198	228	FileRead	main	-
0x8001627c	324	FUN_800190f4	main	-
0x800163c0	348	InitFileSystem	main	-
0x8001651c	56	PathFileRead	main	-
0x80016554	124	FileWrite	main	-
0x800165d0	172	LoadExecEx	main	-
0x8001667c	56	InitAccessInfo	main	-
0x800166b4	256	LoadFromDEVPC	main	-
0x800167b4	36	LoadFromMEMORY	main	-
0x800167d8	280	LoadFromCDROM	main	-
0x800168f0	60	PrepareAccess	main	-
0x8001692c	280	InitSprite	main	-
0x80016a44	288	SetupImageToPolyFT4	main	-
0x80016b64	324	SetupImageToPolyGT4	main	-
0x80016ca8	400	_PlayMusic	main	-
0x80016e38	756	PlayVoice	main	-
0x8001712c	164	get_tim_from_archive	main	-
0x800171d0	256	GetImage	main	-
0x800172d0	208	GetArcData	main	-
0x800173a0	172	InitializeImage	main	-
0x8001744c	160	FUN_8004f4f8	main	-
0x800174ec	68	FUN_8004f598	main	-
0x80017530	176	PlayMusicFormID	main	-
0x800175e0	52	FUN_8004f68c	main	-
0x80017614	176	FUN_8004f6c0	main	-
0x800176c4	68	FUN_8004f770	main	-
