#addr	size	name	source	provenance
0x8001a1c4	456	valloc	main	-
0x8001a390	516	vrealloc	main	-
0x8001a594	780	vmemoryGC	main	-
0x8001a8a0	84	vinit	main	-
0x8001a8f4	76	vgetmaxsize	main	-
0x8001a940	68	vgetfreesize	main	-
0x8001a984	80	vcalloc	main	-
0x8001a9d4	260	vfree	main	-
0x8001ac90	556	EndDrawing	calls-contain	psxsym
0x8001aebc	332	DrawModel	main	-
0x8001b008	760	LoadModelArchive	main	-
0x8001b300	488	DrawModelArchive	main	-
0x8001b4e8	420	CreateCloneModelArchive	main	-
0x8001b68c	464	SetupSprite	main	-
0x8001b85c	444	DrawSprite	main	-
0x8001ba18	1072	SetupBG	main	-
0x8001bf34	120	GetAbsolutePosition	main	-
0x8001bfac	296	DrawClip	main	-
0x8001c0d4	176	LoadModel	main	-
0x8001c1a8	160	CreateCloneModel	main	-
0x8001c248	136	DisposeModelArchive	main	-
0x8001c2d0	144	LoadOrnament	main	-
0x8001c360	68	DrawOrnament	main	-
0x8001c3c8	128	CreateCloneOrnament	main	-
0x8001c448	92	UpdateOrnament	main	-
0x8001c4a4	68	DrawBG	main	-
0x8001c4e8	80	DisposeBG	main	-
0x8001c590	176	LoadTIM	main	-
0x8001c750	32	GetTIMInfo	main	-
0x8001c770	124	GetTIMpackInfo	main	-
0x8001c7ec	284	PlaySE	main	-
0x8001c908	104	InitSoundEffect	main	-
0x8001c970	184	SetupSE	main	-
0x8001ca28	76	DisposeSE	main	-
0x8001ca74	272	FUN_80018f00	main	-
0x8001cfe0	124	FileWrite	main	-
0x8001d05c	172	LoadExecEx	main	-
0x8001d114	256	LoadFromDEVPC	main	-
0x8001d214	280	LoadFromCDROM	main	-
0x8001d334	60	PrepareAccess	main	-
0x8001d370	200	LoadAreaMap	main	-
0x8001d438	420	ComputeAreaLevel	main	-
0x8001d5dc	1168	GetAreaMapLevel	main	-
0x8001da6c	548	GetAreaMapVector	main	-
0x8001dc90	580	GetAreaMapPassage	main	-
0x8001ded4	316	InitConflict	main	-
0x8001e010	312	InsertConflict	main	-
0x8001e148	268	DeleteConflict	main	-
0x8001e254	816	ComputeAllConflict	main	-
0x8001e584	368	GetConflictResult	main	-
0x8001e6f4	60	DisposeAreaMap	main	-
0x8001e730	480	ComPad	main	-
0x8001e910	368	PadProc	main	-
0x8001ea80	292	GetCommand	main	-
0x8001eba4	268	SetCommand	main	-
0x8001ecb0	48	GetPad	main	-
0x8001ece0	48	FUN_8001b174	main	-
0x8001ed10	188	update_pressed_buttons	main	-
0x8001edcc	88	GetRealPad	main	-
0x8001ee24	60	FUN_8001b2b8	main	-
0x8001ee60	112	FUN_8001b2f4	main	-
0x8001eed0	160	InitPadControl	main	-
0x8001ef70	96	PadShock	main	-
0x8001efec	60	GetPadXY	main	-
0x8001f028	36	FUN_8001b4bc	main	-
0x8001f04c	52	FUN_8001b4e0	main	-
0x8001f080	328	SearchMotion	main	-
0x8001f1c8	632	UpdateMotion	main	-
0x8001f440	336	HoldMotion	main	-
0x8001f590	984	SweepMotion	main	-
0x8001f968	452	ActiveMotion	main	-
0x8001fb2c	432	UpdateSplineControl	main	-
0x8001fcdc	336	GetSpline	main	-
0x8001fe2c	240	LoadMotion	main	-
0x8001ff1c	140	SetupMotionRegist	main	-
0x8001ffa8	156	SetupMotionManager	main	-
0x80020044	56	DestroyTraceLine	main	-
0x80020044	56	DisposeMotionManager	main	-
0x8002007c	116	GetMotionID	main	-
0x800200f0	188	PlayMotion	main	-
0x800201ac	240	SetupSpline	main	-
0x8002029c	220	FUN_8001c730	main	-
0x80020378	292	HumanActionControl	main	-
0x800209cc	1172	HangCheck	calls-contain	psxsym
0x80020e60	256	StickonCheck	main	-
0x80020f60	584	JumpControl	main	-
0x800211a8	5848	DamageControl	calls-contain	psxsym
0x80022880	1040	AttackControl	main	-
0x80022c90	420	AttackContinuousCheck	main	-
0x80022e34	644	WeaponHitWeapon	main	-
0x800230b8	272	AttackBowControl	main	-
0x800231c8	300	handle_char_state_attacking_SEVEN_	main	-
0x800232f4	948	ActNORMAL	main	-
0x80023bf4	860	ActMOVE	main	-
0x80023f50	1500	ActSWIM	main	-
0x80024da0	1388	ActENGAGE	main	-
0x8002821c	700	ActHANG	main	-
0x800284d8	1820	ActSQUAT	main	-
0x80029814	676	ActSYURI	main	-
0x80029ab8	572	ActITEM	main	-
0x80029cf4	1548	ActDAMAGE	main	-
0x8002a300	1680	ActDEAD	main	-
0x8002a998	176	SetNowMotion	main	-
0x8002aa48	196	NowReturnNormal	main	-
0x8002ab0c	48	dispose_weapon_data_of_char_	main	-
0x8002ab3c	280	FUN_800270f8	main	-
0x8002acc0	100	ReturnNormal	main	-
0x8002ad24	104	FUN_80027304	main	-
0x8002ad8c	380	AttackCancelControl	main	-
0x8002af08	108	AttackGunControl	main	-
0x8002af74	308	bow_shoot_logic	main	-
0x8002b0a8	168	AttackPQD	main	-
0x8002b150	232	AttackFire	main	-
0x8002b238	196	ItemControl	main	-
0x8002b304	508	CreateHumanoid	main	-
0x8002b500	292	KillHumanoid	calls-contain	psxsym
0x8002cdd4	260	update_something_for_each_visible_enemy_	main	-
0x8002ced8	112	GetHumanoid	main	-
0x8002cf48	80	is_character_state_present_on_stage_	main	-
0x8002cf98	308	MoveHumanoid	main	-
0x8002d0cc	204	GetMoveSpeed	main	-
0x8002d198	104	GetDirection	main	-
0x8002d200	208	GetTargetDistance	main	-
0x8002d2d0	364	GetNearestHumanoid	main	-
0x8002d51c	940	SetupAppearance	calls-exact	psxsym
0x8002d8c8	372	SetupCharacterParameter	main	-
0x8002dca8	500	GetWeaponData	main	-
0x8002de9c	1128	SetupWeapon	main	-
0x8002e304	140	GetAttackDBID	main	-
0x8002e390	104	DisposeWeapon	main	-
0x8002e3f8	240	EquipWeapon	main	-
0x8002f3a8	480	turn_towards_player_	main	-
0x8002f588	328	ChasetoTarget	main	-
0x8002fdf0	372	Think1random	main	-
0x8002ff64	356	Think1ninja	main	-
0x800300c8	376	Think1chase	main	-
0x8003074c	316	Think3chase	main	-
0x80030888	1136	Think3attack	main	-
0x80030cf8	280	Think3escape	main	-
0x80030e10	844	Think3area	main	-
0x8003115c	388	Think3hitaway	main	-
0x800312e0	260	Think3firstattack	main	-
0x800313e4	268	ItemUse	main	-
0x800314f0	1668	AttackShort	main	-
0x80031b74	1444	AttackGeneral	main	-
0x80032118	1248	AttackLong	main	-
0x800325f8	848	AttackIndirect	main	-
0x80032948	228	AttackAnimal	main	-
0x80032ba8	384	Think4contact	main	-
0x80032d28	404	Think4chase	main	-
0x80032ebc	184	SetupThinkFunction	main	-
0x8003308c	176	Think1watch	main	-
0x8003313c	140	Think1sleep	main	-
0x800331c8	48	Think2confirm	main	-
0x800331f8	104	Think2contact	main	-
0x80033284	268	SuccessionAttack	main	-
0x80033390	468	SnapCameraTargetVector	main	-
0x80033564	792	FUN_8002fd9c	main	-
0x8003387c	732	MakeDifSub	main	-
0x80033b58	692	AntiWall	main	-
0x80033e0c	296	FUN_80030644	main	-
0x80033f34	628	debug_output_edit_camera_settings	main	-
0x800341a8	660	MakeCameraPosition	main	-
0x8003443c	2628	CameraType1	main	-
0x80034e80	832	SetCameraMode	main	-
0x800351c0	632	Camera	main	-
0x80035438	860	CameraDirection	main	-
0x80035794	188	initialise_default_player_cameras_	main	-
0x80035850	252	MakeDif	main	-
0x8003594c	904	InitEffect	main	-
0x80035cd4	260	DrawTargetS	main	-
0x80035dd8	2160	DrawBlood	main	-
0x80036648	772	SetBlood	main	-
0x8003694c	504	DrawSmoke	main	-
0x80036b44	788	SetSmoke	main	-
0x80036e58	496	SetSmokeS	main	-
0x80037048	848	FUN_80033bc0	main	-
0x80037398	772	DrawImpact	main	-
0x8003769c	360	SetImpact	main	-
0x80037804	532	DrawBleed	main	-
0x80037a18	1108	SetBleeds	main	-
0x80037e6c	984	DrawSplash	main	-
0x80038244	556	DrawFrame	main	-
0x80038470	876	SetBleedsDir	main	-
0x800387dc	2328	FUN_8003562c	main	-
0x800390f4	832	FUN_80035f44	main	-
0x80039434	580	DrawFlyWire	main	-
0x80039678	984	SetFlyWire	main	-
0x80039a50	1488	SetWire	main	-
0x8003a020	896	FUN_80037e0c	main	-
0x8003a3a0	520	death_camera_something_	main	-
0x8003a5a8	1120	DrawShadow	main	-
0x8003aa08	632	DrawAfterimage	main	-
0x8003ac80	416	FadeOutDirect	main	-
0x8003ae20	212	FUN_80038c0c	main	-
0x8003aef4	48	FUN_80038ce0	main	-
0x8003b06c	68	DisposeAfterimage	main	-
0x8003b0b0	252	SetupAfterimage	main	-
0x8003b1cc	196	SetFrame	main	-
0x8003b298	196	SetSplash	main	-
0x8003b35c	244	SetBleed	main	-
0x8003b450	248	FUN_8003944c	main	-
0x8003b550	204	DrawTarget	main	-
0x8003b61c	116	GetScreenPositionS	main	-
0x8003b690	60	PrepareGetScreenPositionS	main	-
0x8003b6cc	156	GetScreenPosition	main	-
0x8003b768	172	GetVectorRotation	main	-
0x8003b814	316	GetVectorDistance	main	-
0x8003b950	288	GetVectorLength	main	-
0x8003ba70	172	RotateVectorS	main	-
0x8003bb1c	172	RotateVector	main	-
0x8003bbc8	88	DrawEffect	main	-
0x8003bc20	64	FUN_80039c14	main	-
0x8003bc60	392	CGetLevel	main	-
0x8003bde8	468	FUN_80039ddc	main	-
0x8003bfbc	408	FUN_80039fb0	main	-
0x8003c154	352	FUN_8003a148	main	-
0x8003c2b4	248	DrawSpriteXYZ	main	-
0x8003c3b4	728	SearchItemTarget2	main	-
0x8003c68c	184	PackItemLayout	main	-
0x8003c744	324	InitializeItem	main	-
0x8003c888	1536	MoveKorogari	calls-contain	psxsym
0x8003ce88	488	MoveFly	main	-
0x8003d070	664	SetupFly	main	-
0x8003d308	1112	ProcItemDrop	main	-
0x8003d760	472	ReqItemDrop	main	-
0x8003d938	1056	ProcSightShot	main	-
0x8003dd58	744	ProcKaginawa	main	-
0x8003e040	620	ProcItemMakibishi	main	-
0x8003e2ac	444	ReqItemMakibishi	main	-
0x8003e468	1432	ProcItemKusuri	main	-
0x8003ea00	372	ReqItemGosin	main	-
0x8003ea00	372	ReqItemHenshin	main	-
0x8003ea00	372	ReqItemKawarimi	main	-
